sha,date,kind,message,files,n_lines,reverts_cleanly,development_set
12808cc8,2018-07-05,cpp,Fixed the issue #86 (reported by Michael Danilov),src/models/atmosphere/FGStandardAtmosphere.cpp,3,False,False
05b709c8,2018-06-23,cpp,Fixed the gradient that did not fade out beyond 91km.,src/models/atmosphere/FGStandardAtmosphere.cpp,7,True,False
f42d3bcd,2018-06-16,cpp,Tested and fixed the temperature gradient feature,src/models/atmosphere/FGStandardAtmosphere.cpp,26,False,False
a8517c19,2018-06-10,cpp,Fixed a bug due to uninitialized variables.,src/models/atmosphere/FGStandardAtmosphere.cpp,14,False,False
f0e7d647,2018-06-09,cpp,Fixed the signature of FGStandardAtmosphere::CalculateDensityAltitude(),src/models/atmosphere/FGStandardAtmosphere.cpp;src/models/atmosphere/FGStandardAtmosphere.h,8,False,False
e0cec95d,2018-06-09,cpp,Fixes to handle negative altitudes,src/models/atmosphere/FGStandardAtmosphere.cpp,22,False,False
7a275c8c,2018-03-03,cpp,Improved error messages.,src/models/FGAerodynamics.cpp;src/models/FGAerodynamics.h,0,False,False
9c058118,2018-03-03,model,Fix 'kink' in change in lift due to ground effect tables for C172x and B737,aircraft/737/737.xml;aircraft/c172x/c172x.xml,8,False,True
a52d103b,2017-06-03,cpp,Fixes to the trim on ground feature.,src/initialization/FGTrim.cpp;src/models/FGLGear.cpp;src/models/FGSurface.cpp,56,False,False
45837388,2017-03-11,cpp,Stricter checking in FGTable revived the bug [#84]. This commit provides a fix to the problem: the table name 'EnginePowerVC' is prepended with 'propulsion/engine[#]',src/models/propulsion/FGTurboProp.cpp,13,False,False
2c9c8535,2017-03-11,cpp,Fixed the bug [#96] Table Independent Variables Not Indexed,src/math/FGFunction.cpp;src/math/FGFunction.h;src/math/FGTable.cpp;src/math/FGTable.h,82,False,False
a2883b83,2017-03-11,cpp,Fixed a division by zero for gears that are not steerable,src/models/FGLGear.h,10,False,False
7b081255,2016-07-03,cpp,Fixed the altitude setter such that it does not modify the specified geodetic latitude.,src/initialization/FGInitialCondition.cpp;src/initialization/FGInitialCondition.h,64,False,False
66a679ed,2016-07-03,cpp,Fixed the corrections for the Pitot tube to take the sideslip into account.,src/initialization/FGInitialCondition.cpp,10,False,False
4601b812,2016-06-26,cpp,Fixed the geodetic computations: now the altitude (ASL and AGL) is correctly set when a geodetic latitude is specified.,src/initialization/FGInitialCondition.cpp;src/initialization/FGInitialCondition.h,118,False,False
a951a540,2016-06-12,cpp,Skip the retracted landing gears during the trim on ground since it will lead to an incorrect solution once the simulation will restart.,src/initialization/FGTrim.cpp,14,False,False
98e1deb0,2016-06-05,cpp,"Fixed 2 bugs for the trim algorithm on ground. First, the algorithm was using the compressed contacts which was leading to incorrect placement once the aircraft was relocated with uncompressed contacts. Second, the order in which the rotations were applied was wrong and that was corrupting the trim solution for tail wheel aircrafts. Unfortunately the error was harmless for tricycle aircrafts which generally have small pitch angles when resting on ground.",src/initialization/FGTrim.cpp,26,False,False
cea96ae2,2016-05-30,cpp,Final fix for bug SF#115: make sure that the property aero/cl-squared is getting huge values when qbar is close to zero.,src/models/FGAerodynamics.cpp,14,False,False
888394fa,2016-05-23,cpp,Bug fix for the SF bug #115,src/models/FGAerodynamics.cpp,17,False,False
6e325f02,2016-05-21,cpp,Fixed a divide-by-zero error when computing Vtdot,src/models/FGAuxiliary.cpp,6,False,False
9d111248,2016-05-19,model,Fix the problem where the paraglider spins out of control with full aileron and the engine on,aircraft/paraglider/paraglider.xml,6,False,False
15e96cf5,2016-05-16,cpp,"Shortened the succession of tests that determine if a landing gear is fixed, castered or steered",src/models/FGLGear.cpp,26,False,False
c8a88770,2016-05-05,cpp,The grain density is now initialized from the tank capacity rather than from the tank initial content. Otherwise the tank inertia returns garbage when the initial content is set to a value different from the capacity and then modified (bug reported by Uriah George),src/models/propulsion/FGTank.cpp,29,False,False
3ef90c9c,2016-04-17,cpp,Now uses the same Earth radius as the rest of JSBSim. Error messages now give the file name and line number at which the problem occurred. First use of simgear::PropertyObject in JSBSim as a proof of concept.,src/models/flight_control/FGWaypoint.cpp;src/models/flight_control/FGWaypoint.h,110,False,False
df01c523,2016-04-16,cpp,Fixed a bug that prevented the systems to be correctly initialized (the second Run() from FGFDMExec::RunIC() was skipped).,src/models/FGFCSChannel.h,14,False,False
ed4919d5,2016-04-03,cpp,Fixed channels to fix their behaviour after a reset. Also make sure that the frame counter is frozen when the integration is suspended (i.e. when dt == 0.0),src/models/FGFCS.cpp;src/models/FGFCSChannel.h,38,False,False
5c415f27,2016-01-17,cpp,Fixed a bug which caused FGTrim::trimOnGround() to be initialized with the wrong ICs and prevented it to converge to the correct solution,src/initialization/FGTrim.cpp;src/initialization/FGTrimAxis.cpp,27,False,False
090655f4,2016-01-17,cpp,Do not resume integration when looking for propulsion steady state otherwise it might have the side effect of igniting solid propellant rockets during trimming (bug reported in FG by Stefan Seifert),src/models/FGPropulsion.cpp,15,False,False
14006889,2015-12-29,cpp,Fix a possible nan,src/initialization/FGTrim.cpp,10,False,False
22c79e89,2015-12-13,cpp,Fixed a bug that prevented to store the list of engines that should be running at the start of a script,src/initialization/FGInitialCondition.cpp,6,False,False
f3930ad2,2015-12-02,cpp,Fix div-by-0 in fuel temperature calculation.,src/models/propulsion/FGTank.cpp,6,False,False
61529d67,2015-11-03,model,Remove a negative sign which was used as a test only,aircraft/Pterosaur/Systems/Wing Motion.xml,4,False,False
ef3b6b9a,2015-09-27,cpp,Some further fixes to the reset of FGFilter,src/models/flight_control/FGFilter.cpp,10,False,False
a36623c8,2015-09-27,cpp,Issues an error when the latitude is specified outside +/-90 deg or +/-pi/2 rad,src/initialization/FGInitialCondition.cpp,22,False,False
fe3bcfca,2015-08-09,model,Refined the initial conditions to start in a configuration closer to the steady state. Also fixed the units of psi which are degrees,aircraft/c172r/reset00.xml,8,False,False
26e114c1,2015-08-09,cpp,"Fixed the accelerometer that wrongly summed the gravity twice. It also overlooked the fact that (p,q,r) == (0,0,0) does not mean that (pi,qi,ri) == (0,0,0). As a consequence a centrifugal acceleration exists (albeit small) when (p,q,r) == (0,0,0). Bonus : the formula is now very similar to the acceleration at the pilot location (see FGAuxiliary.cpp)",src/models/flight_control/FGAccelerometer.cpp,9,False,False
0b70efee,2015-07-14,model,A new test case for accelerometers checking that they are measuring 0g in orbit and 1g on ground or in steady flight. At the moment this test is failing. The fix is currently being peer reviewed.,systems/accelerometers.xml,36,True,False
e39918de,2015-07-12,model,Fixed the p51d to be able to run in stand alone JSBSim again (see bug SF#103),aircraft/p51d/Systems/electrical.xml;aircraft/p51d/Systems/propulsion.xml;aircraft/p51d/p51d.xml,44,False,False
529a6478,2015-04-08,model,Fixed an error where the input type was reported as unknown. UDPSOCKET has been recently renamed to QTJSBSIM.,aircraft/737/737.xml,6,False,False
0735d502,2015-04-08,cpp,Adds details to the error message to help the user to locate the error in the XML files.,src/models/FGInput.cpp,7,False,False
e82b5573,2015-04-07,model,Fix a wrong up-dow sign for structure points,aircraft/dr1/dr1.xml,14,False,False
7678fbee,2015-02-01,cpp,Fuel tank inertias are now updated when FGTank::Fill and FGTank::SetContents are called (bug reported by Alan Teeder),src/models/propulsion/FGTank.cpp,9,False,False
74371da1,2015-01-31,cpp,Fixed a bug that prevented the tanks inertias to be updated for liquid propellants (including fuel tanks if the <inertia_factor> and <radius> tags are defined). Bug reported by Alan Teeder.,src/models/propulsion/FGTank.cpp;src/models/propulsion/FGTank.h,55,False,False
262bea3a,2014-11-18,cpp,James Turner fixed a clash between platforms that provide the function to_string in the C++ standard library and those who don't. Thanks to Jake Bailey for reporting the bug in the first place.,src/math/FGRealValue.cpp;src/math/FGRealValue.h,21,False,False
553243a0,2014-08-28,cpp,"Following the bug report SF#111 and FG#1497, the conversion from cartesian coordinates to geodetic coordinates is now using Fukushima's algorithm instead of Sofair's. Fukushima's method has a much better numerical stability around the poles and does not produce NaNs for a spherical Earth.",src/math/FGLocation.cpp;src/math/FGLocation.h,163,False,False
53d55ef5,2014-08-09,cpp,Bug fix so that the rate_limit is no longer ignored when set by a property.,src/models/flight_control/FGActuator.cpp,14,False,False
c2c552b2,2014-07-18,cpp,Fixed the erratic behavior of <actuator> when <rate_limit> is read from a property.,src/models/flight_control/FGActuator.cpp,14,False,False
79606af6,2014-07-16,cpp,Fix for the bug reported in the FlightGear issue 1503 : JSBSim hangs when using the 'sense' parameter of the actuator rate_limit element,src/models/flight_control/FGActuator.cpp,8,False,False
