fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B2_load_factor_sign_c3fa7d22,A320,throttle_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,throttle_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,throttle_step,3,3,15495,True
B_pqrdot_5ad2694c,A320,elev_doublet,5,1,4039,True
B_piston_power_bcd3f980,A320,elev_doublet,3,0,0,False
B_turbine_windmill_2db8e408,A320,elev_doublet,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,elev_doublet,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,elev_doublet,1,1,17114,True
B2_wheel_spin_down_8a9fba1c,A320,elev_doublet,4,4,48468,True
B2_sensor_fail_stuck_f543d634,A320,elev_doublet,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,elev_doublet,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,elev_doublet,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,elev_doublet,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,elev_doublet,3,3,8103,True
B_pqrdot_5ad2694c,A320,elev_step,5,1,7639,True
B_piston_power_bcd3f980,A320,elev_step,3,0,0,False
B_turbine_windmill_2db8e408,A320,elev_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,elev_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,elev_step,1,1,24312,True
B2_wheel_spin_down_8a9fba1c,A320,elev_step,4,4,91668,True
B2_sensor_fail_stuck_f543d634,A320,elev_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,elev_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,elev_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,elev_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,elev_step,3,3,15303,True
B_pqrdot_5ad2694c,A320,aileron_step,5,1,4135,True
B_piston_power_bcd3f980,A320,aileron_step,3,0,0,False
B_turbine_windmill_2db8e408,A320,aileron_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,aileron_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,aileron_step,1,1,18767,True
B2_wheel_spin_down_8a9fba1c,A320,aileron_step,4,4,49620,True
B2_sensor_fail_stuck_f543d634,A320,aileron_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,aileron_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,aileron_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,aileron_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,aileron_step,3,3,8295,True
B_pqrdot_5ad2694c,A320,rudder_doublet,5,1,4135,True
B_piston_power_bcd3f980,A320,rudder_doublet,3,0,0,False
B_turbine_windmill_2db8e408,A320,rudder_doublet,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,rudder_doublet,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,rudder_doublet,1,1,18767,True
B2_wheel_spin_down_8a9fba1c,A320,rudder_doublet,4,4,49620,True
B2_sensor_fail_stuck_f543d634,A320,rudder_doublet,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,rudder_doublet,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,rudder_doublet,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,rudder_doublet,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,rudder_doublet,3,3,8295,True
B_pqrdot_5ad2694c,A320,bank_hold,5,1,5839,True
B_piston_power_bcd3f980,A320,bank_hold,3,0,0,False
B_turbine_windmill_2db8e408,A320,bank_hold,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,bank_hold,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,bank_hold,1,1,20712,True
B2_wheel_spin_down_8a9fba1c,A320,bank_hold,4,4,70068,True
B2_sensor_fail_stuck_f543d634,A320,bank_hold,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,bank_hold,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,bank_hold,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,bank_hold,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,bank_hold,3,3,11703,True
B_pqrdot_5ad2694c,A320,flap_extend,5,1,5239,True
B_piston_power_bcd3f980,A320,flap_extend,3,0,0,False
B_turbine_windmill_2db8e408,A320,flap_extend,2,2,2,True
B2_turbine_throttle_init_c8af9244,A320,flap_extend,1,1,2,True
B2_turbine_thruster_inputs_20066483,A320,flap_extend,1,1,19514,True
B2_wheel_spin_down_8a9fba1c,A320,flap_extend,4,4,62868,True
B2_sensor_fail_stuck_f543d634,A320,flap_extend,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,A320,flap_extend,5,0,0,False
B2_load_factor_sign_c3fa7d22,A320,flap_extend,1,1,1,True
B2_propeller_inflow_angle_82cc3893,A320,flap_extend,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,A320,flap_extend,3,3,10503,True
B_pqrdot_5ad2694c,A320,engine_cut,5,1,5239,True
B_piston_power_bcd3f980,A320,engine_cut,3,0,0,False
B_turbine_windmill_2db8e408,A320,engine_cut,2,2,2,True
