aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
c172p,flap_extend,cmq_x0.5,0,0.767,0.21,0.0,0.00/0.00,0.00/0.00,0.6,-,,,
c172p,flap_extend,cmalpha_x0.7,4,0.767,2.44,9.0,0.31/1.00,0.40/1.00,0.65,0.22/0.50,,0.40/1.00,0.72
c172p,flap_extend,clo_+0.1,2,0.767,1.73,1.0,0.15/1.00,0.40/1.00,0.38,0.00/0.00,,0.00/0.00,0.0
c172p,flap_extend,noop,1,0.767,,,,,,,0.05,,
c172p,climbing_turn,inertia_x1.6,1,0.724,1.04,1.0,0.05/1.00,0.20/1.00,,0.00/0.00,,1.00/1.00,0.43
c172p,climbing_turn,cmq_x0.5,0,0.724,0.22,0.0,0.00/0.00,0.00/0.00,0.26,-,,,
c172p,climbing_turn,cmalpha_x0.7,0,0.724,0.76,0.0,0.00/0.00,0.00/0.00,0.09,-,,,
c172p,climbing_turn,clo_+0.1,0,0.724,1.82,1.0,0.00/0.00,0.00/0.00,0.66,0.00/0.00,,0.00/0.00,0.0
c172p,climbing_turn,noop,0,0.724,,,,,,,0.0,,
c172p,elev_doublet_distractor,inertia_x1.6,2,0.771,1.08,1.0,0.09/1.00,0.40/1.00,,1.00/0.50,,1.00/0.50,0.67
c172p,elev_doublet_distractor,cmq_x0.5,1,0.771,0.24,0.0,0.08/1.00,0.20/1.00,0.54,-,,,
c172p,elev_doublet_distractor,cmalpha_x0.7,0,0.771,0.72,0.0,0.00/0.00,0.00/0.00,0.48,-,,,
c172p,elev_doublet_distractor,clo_+0.1,3,0.771,1.79,1.0,0.23/1.00,0.40/1.00,0.54,0.00/0.00,,0.00/0.00,0.0
c172p,elev_doublet_distractor,noop,1,0.771,,,,,,,0.05,,
c172p,engine_stop,inertia_x1.6,1,0.801,0.95,0.0,0.05/1.00,0.20/1.00,,-,,,
c172p,engine_stop,cmq_x0.5,0,0.801,0.33,0.0,0.00/0.00,0.00/0.00,0.51,-,,,
c172p,engine_stop,cmalpha_x0.7,2,0.801,0.75,0.0,0.08/0.50,0.20/1.00,0.5,-,,,
c172p,engine_stop,clo_+0.1,3,0.801,1.53,1.0,0.23/1.00,0.40/1.00,0.59,0.00/0.00,,0.00/0.00,0.0
