aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
B747,throttle_step,B_pqrdot_5ad2694c,0.00010822651497785831,0,0,10,0.0,,0.0,,,,,,,,,
B747,throttle_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.11111111111111113,,,,,,,,
B747,elev_doublet,B_elevator_drag_8819410c,0.7671565689913925,0,3,10,0.23076923076923078,1.0,0.2,0.42735042735042733,,,,1.0,1.0,1.0,1.0,
B747,elev_doublet,B_pqrdot_5ad2694c,8.796106282386839e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
B747,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.5213675213675213,,,,0.0,1.0,0.0,1.0,
B747,elev_step,B_elevator_drag_8819410c,0.8261625488642533,0,11,10,0.38461538461538464,0.45454545454545453,0.8,0.4444444444444444,,,,0.7272727272727273,1.0,0.7272727272727273,1.0,
B747,elev_step,B_pqrdot_5ad2694c,7.611921778355883e-05,0,0,10,0.0,,0.0,,,,,,,,,
B747,elev_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5555555555555556,,,,,,,,
B747,aileron_step,B_elevator_drag_8819410c,0.3613662034600197,0,5,10,0.38461538461538464,1.0,0.4,0.5726495726495727,,,,0.6,1.0,0.6,1.0,
B747,aileron_step,B_pqrdot_5ad2694c,0.00029587679985924284,0,0,10,0.0,,0.0,,,,,,,,,
B747,aileron_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5042735042735043,,,,,,,,
B747,rudder_doublet,B_elevator_drag_8819410c,0.35929229229581855,0,3,10,0.23076923076923078,1.0,0.2,0.8547008547008548,,,,0.0,1.0,0.0,1.0,
B747,rudder_doublet,B_pqrdot_5ad2694c,8.888091155431608e-05,0,0,10,0.0,,0.0,,,,,,,,,
B747,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.4188034188034188,,,,,,,,
B747,bank_hold,B_elevator_drag_8819410c,0.20352170143077394,0,4,10,0.23076923076923078,0.75,0.4,0.6581196581196581,,,,0.75,1.0,0.75,1.0,
B747,bank_hold,B_pqrdot_5ad2694c,0.00020331181573879912,0,0,10,0.0,,0.0,,,,,,,,,
B747,bank_hold,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.188034188034188,,,,,,,,
B747,flap_extend,B_elevator_drag_8819410c,0.5022380476789635,0,9,10,0.6153846153846154,0.8888888888888888,0.8,0.7863247863247863,,,,0.3333333333333333,0.8888888888888888,0.0,1.0,
B747,flap_extend,B_pqrdot_5ad2694c,0.0001478461465626142,0,0,10,0.0,,0.0,,,,,,,,,
B747,flap_extend,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.48717948717948717,,,,,,,,
B747,engine_cut,B_elevator_drag_8819410c,1.090380905111014,1,5,10,0.38461538461538464,1.0,0.4,0.7863247863247864,0.0,0.0,0.0,0.8,0.6,0.6,0.0,1.0
B747,engine_cut,B_pqrdot_5ad2694c,0.00014750367695828205,0,0,10,0.0,,0.0,,,,,,,,,
B747,engine_cut,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.641025641025641,,,,,,,,
B747,climbing_turn,B_elevator_drag_8819410c,0.4787522104963894,0,3,10,0.23076923076923078,1.0,0.2,0.6495726495726496,,,,1.0,1.0,1.0,1.0,
B747,climbing_turn,B_pqrdot_5ad2694c,0.00035694758329912773,0,0,10,0.0,,0.0,,,,,,,,,
B747,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.358974358974359,,,,,,,,
B747,elev_doublet_distractor,B_elevator_drag_8819410c,0.4171906028387804,0,0,10,0.0,,0.0,0.4444444444444444,,,,,,,,
B747,elev_doublet_distractor,B_pqrdot_5ad2694c,8.835415890938049e-05,0,0,10,0.0,,0.0,,,,,,,,,
B747,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.11965811965811969,,,,,,,,
